DR_NO,Date Rptd,DATE OCC,TIME OCC
201207275,02/16/2020 12:00:00 AM,02/15/2020 12:00:00 AM,2230
201614307,10/30/2020 12:00:00 AM,10/30/2020 12:00:00 AM,1630
201507435,03/11/2020 12:00:00 AM,03/11/2020 12:00:00 AM,245
200619190,12/13/2020 12:00:00 AM,12/12/2020 12:00:00 AM,1900
201113722,09/17/2020 12:00:00 AM,09/16/2020 12:00:00 AM,2300
202016869,11/08/2020 12:00:00 AM,11/08/2020 12:00:00 AM,340
201321540,12/21/2020 12:00:00 AM,12/20/2020 12:00:00 AM,1500
201414735,08/01/2020 12:00:00 AM,07/30/2020 12:00:00 AM,1800
200209963,05/08/2020 12:00:00 AM,05/02/2020 12:00:00 AM,230
202110843,06/25/2020 12:00:00 AM,06/24/2020 12:00:00 AM,1800
201812828,06/20/2020 12:00:00 AM,06/19/2020 12:00:00 AM,2300
201606882,03/09/2020 12:00:00 AM,02/25/2020 12:00:00 AM,2030
200714691,10/09/2020 12:00:00 AM,10/08/2020 12:00:00 AM,30
200408471,05/03/2020 12:00:00 AM,05/02/2020 12:00:00 AM,1800
201821381,11/30/2020 12:00:00 AM,11/20/2020 12:00:00 AM,1100
200909277,05/04/2020 12:00:00 AM,05/04/2020 12:00:00 AM,300
201406315,02/09/2020 12:00:00 AM,02/02/2020 12:00:00 AM,930
200408110,04/23/2020 12:00:00 AM,04/22/2020 12:00:00 AM,2200
200315436,08/08/2020 12:00:00 AM,08/07/2020 12:00:00 AM,2200
200412990,09/21/2020 12:00:00 AM,09/20/2020 12:00:00 AM,1400
200322053,12/21/2020 12:00:00 AM,12/18/2020 12:00:00 AM,730
201812802,06/19/2020 12:00:00 AM,06/18/2020 12:00:00 AM,1900
202014805,09/18/2020 12:00:00 AM,09/17/2020 12:00:00 AM,1200
201418618,10/12/2020 12:00:00 AM,10/12/2020 12:00:00 AM,1400
200406997,03/16/2020 12:00:00 AM,03/15/2020 12:00:00 AM,1600
201212094,05/04/2020 12:00:00 AM,05/04/2020 12:00:00 AM,415
201013874,10/09/2020 12:00:00 AM,10/09/2020 12:00:00 AM,100
202013555,08/18/2020 12:00:00 AM,08/17/2020 12:00:00 AM,2000
201208722,03/08/2020 12:00:00 AM,03/08/2020 12:00:00 AM,700
200504370,01/09/2020 12:00:00 AM,01/08/2020 12:00:00 AM,2000
200508078,04/09/2020 12:00:00 AM,04/03/2020 12:00:00 AM,1400
200215210,09/19/2020 12:00:00 AM,09/13/2020 12:00:00 AM,1400
200509873,05/24/2020 12:00:00 AM,05/23/2020 12:00:00 AM,2230
201916122,10/25/2020 12:00:00 AM,10/25/2020 12:00:00 AM,1900
202010692,06/08/2020 12:00:00 AM,06/08/2020 12:00:00 AM,1400
201915288,10/05/2020 12:00:00 AM,10/04/2020 12:00:00 AM,2000
201822313,12/19/2020 12:00:00 AM,12/13/2020 12:00:00 AM,1
201308198,03/15/2020 12:00:00 AM,03/14/2020 12:00:00 AM,2200
201405040,01/19/2020 12:00:00 AM,01/18/2020 12:00:00 AM,1900
201117128,12/31/2020 12:00:00 AM,12/29/2020 12:00:00 AM,2030
200812395,07/28/2020 12:00:00 AM,07/25/2020 12:00:00 AM,2300
200616305,10/05/2020 12:00:00 AM,09/08/2020 12:00:00 AM,1700
200614152,08/19/2020 12:00:00 AM,08/18/2020 12:00:00 AM,2200
201609919,06/12/2020 12:00:00 AM,06/11/2020 12:00:00 AM,1600
201422229,12/28/2020 12:00:00 AM,12/27/2020 12:00:00 AM,1400
201611866,08/11/2020 12:00:00 AM,08/10/2020 12:00:00 AM,1600
200406004,02/21/2020 12:00:00 AM,02/20/2020 12:00:00 AM,2200
201321621,12/23/2020 12:00:00 AM,12/22/2020 12:00:00 AM,1750
200611184,06/08/2020 12:00:00 AM,05/06/2020 12:00:00 AM,1300
201227169,12/27/2020 12:00:00 AM,12/27/2020 12:00:00 AM,430
200207134,03/02/2020 12:00:00 AM,02/29/2020 12:00:00 AM,1400
201907715,03/16/2020 12:00:00 AM,03/15/2020 12:00:00 AM,2000
201513009,07/24/2020 12:00:00 AM,07/24/2020 12:00:00 AM,730
201810331,04/30/2020 12:00:00 AM,04/30/2020 12:00:00 AM,215
200617107,10/24/2020 12:00:00 AM,10/23/2020 12:00:00 AM,1645
200714763,10/11/2020 12:00:00 AM,10/10/2020 12:00:00 AM,1900
200113116,06/09/2020 12:00:00 AM,06/07/2020 12:00:00 AM,320
201216820,07/21/2020 12:00:00 AM,07/19/2020 12:00:00 AM,730
200800003,08/15/2020 12:00:00 AM,08/14/2020 12:00:00 AM,1700
201104861,01/21/2020 12:00:00 AM,01/20/2020 12:00:00 AM,1200
201217423,07/30/2020 12:00:00 AM,07/24/2020 12:00:00 AM,900
201710061,06/15/2020 12:00:00 AM,06/15/2020 12:00:00 AM,1940
201422237,12/28/2020 12:00:00 AM,11/30/2020 12:00:00 AM,900
201614210,10/26/2020 12:00:00 AM,10/24/2020 12:00:00 AM,1900
201217948,08/06/2020 12:00:00 AM,07/12/2020 12:00:00 AM,2200
201109903,05/29/2020 12:00:00 AM,05/28/2020 12:00:00 AM,1300
200619468,12/20/2020 12:00:00 AM,12/20/2020 12:00:00 AM,1445
201010937,07/13/2020 12:00:00 AM,07/13/2020 12:00:00 AM,930
201010865,07/11/2020 12:00:00 AM,07/10/2020 12:00:00 AM,1910
201010605,07/02/2020 12:00:00 AM,07/01/2020 12:00:00 AM,1930
201307212,02/27/2020 12:00:00 AM,02/26/2020 12:00:00 AM,1600
201908105,03/26/2020 12:00:00 AM,03/25/2020 12:00:00 AM,2200
201904996,01/24/2020 12:00:00 AM,01/23/2020 12:00:00 AM,2000
201223968,11/05/2020 12:00:00 AM,11/04/2020 12:00:00 AM,2000
201204188,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1430
201714797,10/28/2020 12:00:00 AM,10/28/2020 12:00:00 AM,300
201709947,06/12/2020 12:00:00 AM,06/12/2020 12:00:00 AM,200
201216470,07/14/2020 12:00:00 AM,07/10/2020 12:00:00 AM,1800
200514231,09/17/2020 12:00:00 AM,09/17/2020 12:00:00 AM,630
201816762,09/06/2020 12:00:00 AM,09/05/2020 12:00:00 AM,2000
202009104,04/29/2020 12:00:00 AM,04/28/2020 12:00:00 AM,1900
202111249,07/06/2020 12:00:00 AM,07/04/2020 12:00:00 AM,1200
200911152,06/17/2020 12:00:00 AM,06/16/2020 12:00:00 AM,1400
201415441,08/13/2020 12:00:00 AM,08/10/2020 12:00:00 AM,1000
201314433,07/27/2020 12:00:00 AM,07/17/2020 12:00:00 AM,1800
201415167,08/09/2020 12:00:00 AM,08/06/2020 12:00:00 AM,250
201009162,05/20/2020 12:00:00 AM,05/20/2020 12:00:00 AM,100
200714862,10/13/2020 12:00:00 AM,10/13/2020 12:00:00 AM,700
201413606,07/11/2020 12:00:00 AM,06/08/2020 12:00:00 AM,1500
201416219,08/27/2020 12:00:00 AM,08/04/2020 12:00:00 AM,1230
201916941,11/15/2020 12:00:00 AM,11/14/2020 12:00:00 AM,1830
201610022,06/15/2020 12:00:00 AM,06/14/2020 12:00:00 AM,100
200909255,05/03/2020 12:00:00 AM,05/03/2020 12:00:00 AM,1345
201109025,05/05/2020 12:00:00 AM,05/04/2020 12:00:00 AM,1800
201809045,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,420
201822429,12/21/2020 12:00:00 AM,12/12/2020 12:00:00 AM,1300
201508175,03/30/2020 12:00:00 AM,03/29/2020 12:00:00 AM,1500
202011578,06/30/2020 12:00:00 AM,06/24/2020 12:00:00 AM,2230
201822232,12/17/2020 12:00:00 AM,12/16/2020 12:00:00 AM,2200
200917072,11/11/2020 12:00:00 AM,11/10/2020 12:00:00 AM,2100
200709271,05/15/2020 12:00:00 AM,05/10/2020 12:00:00 AM,1205
201422228,12/28/2020 12:00:00 AM,12/27/2020 12:00:00 AM,1400
202000005,08/15/2020 12:00:00 AM,08/12/2020 12:00:00 AM,1930
200615835,09/24/2020 12:00:00 AM,09/24/2020 12:00:00 AM,700
200409438,06/02/2020 12:00:00 AM,06/02/2020 12:00:00 AM,1130
201113541,09/13/2020 12:00:00 AM,09/12/2020 12:00:00 AM,2030
200709855,06/01/2020 12:00:00 AM,05/29/2020 12:00:00 AM,2200
201705489,02/05/2020 12:00:00 AM,02/02/2020 12:00:00 AM,1800
200812261,07/24/2020 12:00:00 AM,07/24/2020 12:00:00 AM,1200
200807071,03/08/2020 12:00:00 AM,03/08/2020 12:00:00 AM,1
201610873,07/09/2020 12:00:00 AM,07/08/2020 12:00:00 AM,1700
200409547,06/06/2020 12:00:00 AM,06/05/2020 12:00:00 AM,530
200411216,07/27/2020 12:00:00 AM,07/27/2020 12:00:00 AM,1400
201106744,03/02/2020 12:00:00 AM,03/02/2020 12:00:00 AM,600
201917945,12/11/2020 12:00:00 AM,11/30/2020 12:00:00 AM,800
201708923,05/09/2020 12:00:00 AM,05/09/2020 12:00:00 AM,1400
200408515,05/05/2020 12:00:00 AM,05/05/2020 12:00:00 AM,30
201218234,08/10/2020 12:00:00 AM,08/10/2020 12:00:00 AM,1720
201511749,06/24/2020 12:00:00 AM,06/23/2020 12:00:00 AM,1100
200317889,09/26/2020 12:00:00 AM,09/25/2020 12:00:00 AM,2300
200815228,10/15/2020 12:00:00 AM,10/09/2020 12:00:00 AM,1500
200116599,08/18/2020 12:00:00 AM,08/02/2020 12:00:00 AM,2110
200917938,12/01/2020 12:00:00 AM,12/01/2020 12:00:00 AM,1645
201821231,11/28/2020 12:00:00 AM,11/27/2020 12:00:00 AM,1200
202009601,05/11/2020 12:00:00 AM,05/10/2020 12:00:00 AM,1945
201605216,01/30/2020 12:00:00 AM,01/29/2020 12:00:00 AM,2200
200409210,05/25/2020 12:00:00 AM,05/24/2020 12:00:00 AM,5
201213155,05/20/2020 12:00:00 AM,05/18/2020 12:00:00 AM,300
201414352,07/25/2020 12:00:00 AM,07/25/2020 12:00:00 AM,1515
201909830,05/15/2020 12:00:00 AM,05/06/2020 12:00:00 AM,1400
200116762,08/22/2020 12:00:00 AM,08/22/2020 12:00:00 AM,1100
200710866,06/24/2020 12:00:00 AM,06/23/2020 12:00:00 AM,1430
201005197,01/29/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1400
200619815,12/30/2020 12:00:00 AM,12/29/2020 12:00:00 AM,1700
201407308,02/27/2020 12:00:00 AM,02/25/2020 12:00:00 AM,1000
200414125,10/22/2020 12:00:00 AM,10/19/2020 12:00:00 AM,2100
200607191,03/01/2020 12:00:00 AM,02/29/2020 12:00:00 AM,2015
202113490,09/04/2020 12:00:00 AM,09/04/2020 12:00:00 AM,2017
200613819,08/11/2020 12:00:00 AM,08/11/2020 12:00:00 AM,1330
202104262,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1900
200611512,06/17/2020 12:00:00 AM,06/17/2020 12:00:00 AM,1600
200413133,09/25/2020 12:00:00 AM,09/20/2020 12:00:00 AM,1
200609642,04/29/2020 12:00:00 AM,04/28/2020 12:00:00 AM,1200
202116959,12/13/2020 12:00:00 AM,12/12/2020 12:00:00 AM,2300
200408900,05/16/2020 12:00:00 AM,05/16/2020 12:00:00 AM,5
200414480,10/31/2020 12:00:00 AM,10/30/2020 12:00:00 AM,2200
201813754,07/10/2020 12:00:00 AM,07/09/2020 12:00:00 AM,1900
200207753,03/15/2020 12:00:00 AM,03/14/2020 12:00:00 AM,1900
200116466,08/17/2020 12:00:00 AM,08/15/2020 12:00:00 AM,1800
200809410,05/14/2020 12:00:00 AM,05/08/2020 12:00:00 AM,1700
201108768,04/27/2020 12:00:00 AM,04/26/2020 12:00:00 AM,2300
