DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON,,,,,,,,,,,,,,,
201215282,12,77th Street,1218,5700 S HOOVER ST,,33.9901,-118.2871,,,,,,,,,,,,,,,
201715612,17,Devonshire,1761,PRAIRIE ST,OWENSMOUTH AV,34.2391,-118.604,,,,,,,,,,,,,,,
200618146,6,Hollywood,637,BRONSON,HOLLYWOOD,34.1017,-118.318,,,,,,,,,,,,,,,
202017585,20,Olympic,2081,1600 S ST ANDREWS PL,,34.0418,-118.3134,,,,,,,,,,,,,,,
201414285,14,Pacific,1446,WASHINGTON PL,GRAND VIEW BL,34.0008,-118.4276,,,,,,,,,,,,,,,
201509341,15,N Hollywood,1532,6400 WHITSETT AV,,34.1867,-118.4052,,,,,,,,,,,,,,,
201315598,13,Newton,1353,4600 WADSWORTH AV,,34.0013,-118.2591,,,,,,,,,,,,,,,
200308998,3,Southwest,357,1200 EXPOSITION BL,,34.0184,-118.2952,,,,,,,,,,,,,,,
201816124,18,Southeast,1822,200 W 98TH ST,,33.9472,-118.2767,,,,,,,,,,,,,,,
201319061,13,Newton,1307,800 S SAN PEDRO ST,,34.0383,-118.2493,,,,,,,,,,,,,,,
201821407,18,Southeast,1823,9800 S SAN PEDRO ST,,33.9471,-118.2695,,,,,,,,,,,,,,,
201909938,19,Mission,1959,13600 REMINGTON ST,,34.2509,-118.4303,,,,,,,,,,,,,,,
200312552,3,Southwest,341,3600 CARMONA AV,,34.0201,-118.3672,,,,,,,,,,,,,,,
200318167,3,Southwest,395,4300 S WESTERN AV,,34.0052,-118.3089,,,,,,,,,,,,,,,
201209707,12,77th Street,1233,6100 S GRAMERCY PL,,33.9843,-118.3134,,,,,,,,,,,,,,,
201412957,14,Pacific,1412,100 SUNSET AV,,33.9939,-118.4772,,,,,,,,,,,,,,,
200613641,6,Hollywood,646,HOLLYWOOD,WHITLEY,34.1016,-118.3333,,,,,,,,,,,,,,,
200307621,3,Southwest,363,4100 SOMERSET DR,,34.0116,-118.3412,,,,,,,,,,,,,,,
200708839,7,Wilshire,702,500 N STANLEY AV,,34.0802,-118.3564,,,,,,,,,,,,,,,
201225824,12,77th Street,1268,8000 S BROADWAY,,33.9659,-118.2783,,,,,,,,,,,,,,,
201911795,19,Mission,1995,14600 BLYTHE ST,,34.2152,-118.4531,,,,,,,,,,,,,,,998
202008207,20,Olympic,2071,1500 S WILTON PL,,34.0436,-118.3145,,,,,,,,,,,,,,,
201418024,14,Pacific,1412,200 OCEAN FRONT WK,,33.9933,-118.4765,,,,,,,,,,,,,,,
201214665,12,77th Street,1267,8500 S FIGUEROA ST,,33.9608,-118.2827,,,,,,,,,,,,,,,
200514957,5,Harbor,585,700 W 25TH ST,,33.7214,-118.2927,,,,,,,,,,,,,,,
211204014,12,77th Street,1249,70TH ST,HOOVER ST,33.9761,-118.2871,,,,,,,,,,,,,,,
201009370,10,West Valley,1003,GEYSER AV,ELKWOOD ST,34.2129,-118.5425,,,,,,,,,,,,,,,
